# language: es
# type: positive
bien hecho	1.0
me encanta	1.0
me parece bien	0.8
me gusta	0.8
muy bueno	1.0
tenías razón	0.8
bueno	1.0
genial	1.0
gracias	0.7
fantástico	1.0
brutal	0.9
excelente	1.0
estupendo	1.0
adelante	0.6
mola	0.8
enhorabuena	0.9
así me gusta	0.8
dios te lo pague	1.0
al ataque	0.7
porfa	0.4
por favor	0.4
guay	0.8
# Cultural expressions with profanity that are strongly positive
de puta madre	1.5
olé tus cojones	1.4
viva la madre que te parió	1.3
# Latin American Spanish positive expressions
de poca madre	1.4
está con madre	1.3
está de huevos	1.2
